row	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127	128
21	None	None	0.267	None	None	None	None	None	0.333	None	None	None	0.233	None	0.433	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0.233	0.3	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0.233	None	None	None	None	None	0.3	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0.2	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0.233	0.2	None	None	None	None	None	None	None	0.233	None
22	0.896	0.896	0.236	None	None	0.579	None	None	0.38	None	None	None	0.286	None	0.306	None	None	None	None	0.848	None	0.896	0.923	None	None	None	None	0.273	None	0.896	0.879	None	None	None	None	None	0.266	None	None	0.677	None	None	None	0.01	0.32	None	None	0.155	None	None	None	None	0.848	0.569	0.879	0.842	0.923	None	None	None	None	0.024	0.923	0.896	None	None	0.727	0.155	None	None	None	0.896	None	None	0.407	0.875	None	None	None	None	0.896	None	None	None	None	0.276	None	None	None	0.923	0.778	0.822	0.717	None	0.35	None	None	None	0.054	0.923	0.704	None	None	0.397	None	0.667	None	0.896	None	None	None	None	0.185	None	0.63	None	0.01	0.199	0.269	None	None	0.801	None	0.896	None	0.896	0.01	None
23	0.821	0.299	0.478	None	None	0.582	None	None	0.299	None	None	None	0.269	None	0.403	None	None	None	None	0.299	None	0.821	0.299	None	None	None	None	0.224	None	0.821	0.284	None	None	None	None	None	0.313	None	None	0.313	None	None	None	0.328	0.343	None	None	None	None	None	None	None	0.299	0.299	0.284	0.299	0.299	None	None	None	None	0.373	0.299	0.299	None	None	0.284	0.299	None	None	None	0.821	None	None	0.284	0.254	None	None	None	None	0.821	None	None	None	None	0.224	None	None	None	0.299	0.299	0.657	None	None	0.343	None	None	None	0.284	0.463	0.299	None	None	0.313	None	0.343	None	0.821	None	None	None	None	0.403	None	0.582	None	0.343	0.299	0.284	None	None	0.403	None	0.299	None	0.821	0.328	None
24	0.672	0.672	0.259	None	None	0.529	None	None	0.191	None	None	None	0.174	None	0.121	None	None	None	None	0.429	None	0.672	0.672	None	None	None	None	0.203	None	0.672	0.327	None	None	None	None	None	0.215	None	None	0.418	None	None	None	0.251	0.124	None	None	None	None	None	None	None	None	0.131	0.327	0.421	0.672	None	None	None	None	0.263	0.672	0.672	None	None	0.257	0.147	None	None	None	0.672	None	None	0.275	0.672	None	None	None	None	0.672	None	None	None	None	0.239	None	None	None	0.192	0.655	0.672	None	None	0.229	0.151	None	None	0.153	0.37	0.672	None	None	0.417	None	0.445	None	0.672	None	None	None	None	0.141	None	0.527	None	0.225	0.163	0.227	None	None	0.657	None	0.672	None	0.672	0.251	None
25	None	None	0.573	None	None	None	None	None	0.473	None	None	None	0.445	None	0.545	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0.664	0.636	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0.582	None	None	None	None	None	0.445	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0.464	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0.518	0.5	None	None	None	None	None	None	None	0.664	None
26	0.515	0.485	0.0	None	None	0.171	None	None	0.062	None	0.002	0.0	0.001	None	0.0	0.0	None	None	None	0.116	None	0.515	0.485	None	0.036	None	None	0.0	None	0.515	0.102	None	None	None	None	None	0.0	None	None	0.06	None	None	None	0.0	0.0	None	None	None	None	None	None	None	None	0.087	0.102	0.108	0.485	None	None	None	None	0.0	0.485	0.485	None	None	0.0	0.0	0.0	None	None	0.515	0.001	None	0.0	0.001	None	None	None	None	0.515	None	None	None	None	0.0	None	None	None	0.017	0.008	0.515	None	None	0.0	0.004	None	None	0.0	0.272	0.485	None	None	0.094	0.0	0.116	None	0.515	None	None	None	None	0.003	0.014	0.171	None	0.0	0.0	0.014	None	None	0.002	None	0.485	None	0.515	0.0	None
27	None	None	0.119	None	None	None	None	None	0.185	None	None	None	0.133	None	0.089	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0.111	0.081	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0.089	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0.119	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0.111	0.141	None	None	None	None	None	None	None	0.111	None
28	None	None	None	None	None	None	None	None	None	None	None	None	0.018	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0.009	None	None	0.055	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0.055	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0.082	None	None	0.036	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
29	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0.816	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
30	0.185	0.185	0.222	None	None	0.185	None	None	0.185	None	None	None	0.259	None	0.37	None	None	None	None	0.185	None	0.185	0.185	None	None	None	None	0.185	None	0.185	0.185	None	None	None	None	None	0.259	None	None	0.185	None	None	None	0.296	0.222	None	None	None	None	None	None	None	None	0.185	0.185	0.259	0.185	None	None	None	None	0.296	0.185	0.185	None	None	0.259	0.407	None	None	None	0.185	None	None	0.185	0.185	None	None	None	None	0.185	None	None	None	None	0.185	None	None	None	0.185	0.407	0.185	None	None	0.185	None	None	None	0.222	0.593	0.185	None	None	0.852	None	0.222	None	0.185	None	None	None	None	0.185	None	0.185	None	0.481	0.333	0.185	None	None	0.593	None	0.185	None	0.185	0.37	None
31	0.625	0.625	0.328	None	None	0.391	None	None	0.313	None	None	None	0.281	None	0.359	None	None	None	None	0.641	None	0.625	0.75	None	None	None	None	0.375	None	0.625	0.75	None	None	None	None	None	0.344	None	None	0.594	None	None	None	0.344	0.563	None	None	None	None	None	None	None	0.641	0.531	0.75	0.531	0.75	None	None	None	None	0.25	0.75	0.625	None	None	0.547	0.266	None	None	None	0.625	None	None	0.406	0.75	None	None	None	None	0.625	None	None	None	None	0.266	None	None	None	0.75	0.641	0.547	None	None	0.406	None	None	None	0.313	0.719	0.5	None	None	0.422	None	0.469	None	0.625	None	None	None	None	0.391	None	0.406	None	0.359	0.328	0.328	None	None	0.688	None	0.625	None	0.625	0.344	None
32	None	None	0.556	None	None	None	None	None	None	None	None	None	0.447	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0.285	0.4	None	None	0.316	None	None	None	None	None	None	0.306	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0.981	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	0.811	None	None	None	None	None	0.424
